# time expDrag(X Y Z) totDrag(X Y Z)
0.1001 0 0 0 0 0 0
0.1002 0 0 0 0 0 0
0.1003 0 0 0 0 0 0
0.1004 0 0 0 0 0 0
0.1005 0 0 0 0 0 0
0.1006 1.94028081812225e-20 4.73698992166336e-22 0.000515100431923178 -1.62345370009496e-05 -1.79426528799252e-05 0.000549397104964472
0.1007 1.94028081812225e-20 4.73698992166336e-22 0.000515100431923178 -1.33015541578493e-05 -1.19080815871759e-05 0.000536476514659647
0.1008 1.94028081812225e-20 4.73698992166336e-22 0.000515100431923178 -1.03331667961653e-05 -6.73553455436103e-06 0.000525597570751384
0.1009 1.94028081812225e-20 4.73698992166336e-22 0.000515100431923178 -6.38339548745855e-06 -2.46676734049638e-06 0.000517631572109884
0.101 1.94028081812225e-20 4.73698992166336e-22 0.000515100431923178 -2.97739315124637e-06 1.1284622536252e-06 0.000511746679420704
0.1011 -8.2099595448524e-05 7.71315987198571e-05 0.0121964000701564 -0.000131935755459753 0.000136682969072443 0.0195241322127147
0.1012 -8.2099595448524e-05 7.71315987198571e-05 0.0121964000701564 -0.000124474808415475 0.000137319778130038 0.0192102956639876
0.1013 -8.2099595448524e-05 7.71315987198571e-05 0.0121964000701564 -0.000116770161614326 0.000137167576676626 0.0189293602525342
0.1014 -8.2099595448524e-05 7.71315987198571e-05 0.0121964000701564 -0.000109021410719146 0.000138082540486868 0.0186825626760883
0.1015 -8.2099595448524e-05 7.71315987198571e-05 0.0121964000701564 -0.000102208446357592 0.000139880056068492 0.0184684383109328
0.1016 -4.92281364903093e-05 5.43442995492067e-05 0.0112819952122215 -6.17942376150828e-05 8.55530299462746e-05 0.0175847775043658
0.1017 -4.92281364903093e-05 5.43442995492067e-05 0.0112819952122215 -5.82834694325351e-05 8.97253221852835e-05 0.0174458369575082
0.1018 -4.92281364903093e-05 5.43442995492067e-05 0.0112819952122215 -5.47159953862175e-05 9.37464038307019e-05 0.0173337186446961
0.1019 -4.92281364903093e-05 5.43442995492067e-05 0.0112819952122215 -5.16911658131269e-05 9.8520038103889e-05 0.0172455951863234
0.102 -4.92281364903093e-05 5.43442995492067e-05 0.0112819952122215 -4.89483976393778e-05 0.000103261046023752 0.0171786071839092
0.1021 -2.42655553484792e-05 4.67101574389149e-05 0.0110861985140595 -4.50407485397507e-05 8.9630431163855e-05 0.0181492925465592
0.1022 -2.42655553484792e-05 4.67101574389149e-05 0.0110861985140595 -4.27731779323674e-05 9.39250787905165e-05 0.0181016334806793
